C1PR2014080422242453DFA5A84AB6E,920051002-247
C1PR2014080421095853DF943686249,920061012-21
C1PR2014082716571153FDAB77ED605,550-002-5
C1PR2014080421261153DF9803AEE1D,920051004-1
C1PR2014080421261153DF980341C4F,920031002-242
C1PR2014080421260653DF97FE8948E,920061011-65
C1PR2014080421260453DF97FC736AF,920031002-211
C1PR2014080421101153DF9443D8B72,920061012-23
C1PR2014080421101253DF9444E1DE1,920101001-75
C1PR2014080421255753DF97F519AD5,920071014-35
C1PR2014080421260053DF97F85187D,920051004-16
C1PR2014080421102053DF944C77991,920031002-154
C1PR2014080421121353DF94BDF2D93,920101001-16
C1PR2014080421110653DF947AE26F5,920061012-28
C1PR2014080421110653DF947A04191,920101001-90
C1PR2014080421105853DF947298C93,920031002-101
C1PR2014080421105253DF946C575BC,920101001-11
C1PR2014080421105053DF946AEB074,920031002-135
C1PR2014082115590353F5B4D7B74A3,920111001-17
C1PR2014080421104253DF94626A797,920031002-262
C1PR2014080421115653DF94AC37308,920101001-23
C1PR2014090121171154047FE7394C9,920061003-9
C1PR2014080421255753DF97F5D37FD,920031002-195
C1PR2014080421255253DF97F0E98B1,920061011-62
C1PR2014080421121853DF94C2CF119,920061012-26
C1PR2014080421122253DF94C68D072,920101001-78
C1PR2014080421255253DF97F088F9B,920031002-124
C1PR2014080421122853DF94CC8A6A7,920061012-15
C1PR2014080421123753DF94D599343,920061012-20
C1PR2014080421253053DF97DAA8C8F,920071014-39
C1PR2014080421254553DF97E9C6302,920061011-61
C1PR2014080421254553DF97E9794B7,920031002-134
C1PR2014080421254153DF97E5ED799,920051004-21
C1PR2014080421252353DF97D3A3F55,920061011-70
C1PR2014080421124853DF94E05588C,920061012-27
C1PR2014080421252953DF97D916B59,920051004-10
C1PR2014080421252753DF97D7B7369,920031002-93
C1PR2014080421125853DF94EA8D837,920061012-1
C1PR2014080421251953DF97CF10591,920071014-44
C1PR2014080421170253DF95DEE1DA1,920031002-123
C1PR2014080421170353DF95DF61177,920061001-2
C1PR2014080421165253DF95D49FA77,920061001-21
C1PR201408302019445401CF7050433,550-004-3
C1PR2014080421161353DF95ADE1AF0,920061001-31
C1PR2014080421141853DF953AE74FB,920031002-186
C1PR2014080421145953DF95639FB0D,920031002-133
C1PR2014080421144753DF9557F40AE,920031002-187
C1PR2014080421143753DF954D13FBA,920061012-22
C1PR2014080421155753DF959D5AADA,920061001-22
C1PR2014080421154353DF958F6AD2E,920031002-162
C1PR2014080421153953DF958BC3804,920061012-18
C1PR2014080421151953DF957732EFB,920101001-28
C1PR2014080421153153DF9583B3BAD,920061012-14
C1PR2014080421153453DF9586F085B,920031002-263
C1PR2014080421161953DF95B39A174,920101002-2
C1PR2014080421162153DF95B511F0A,920061001-30
C1PR201409012118265404803240372,920061003-6
C1PR2014080421251853DF97CEC665C,920051004-19
C1PR2014080421250953DF97C5C2F01,920061011-34
C1PR2014080421250653DF97C236308,920031002-51
C1PR2014080421250653DF97C281951,920051004-5
C1PR2014080421172553DF95F5D54F6,920101002-3
C1PR2014080421173253DF95FC1F1AD,920031002-145
C1PR2014080421173553DF95FFCF1F7,920101004-2
C1PR2014080421245153DF97B3EAD8C,920051004-8
C1PR2014080421183953DF963F07DBD,920061001-42
C1PR2014080421183653DF963CD26E6,920031002-115
C1PR2014080421245953DF97BB4B550,920031002-188
C1PR2014080421245353DF97B5531A6,920071014-16
C1PR2014080421244953DF97B17D47B,920061011-18
C1PR2014080421244953DF97B19F628,920031002-238
C1PR2014080421244253DF97AA77D4D,920051004-18
C1PR2014080421184453DF964455EE9,920061001-46
C1PR2014080421195053DF968689676,920031002-260
C1PR2014080421242753DF979BD1FC2,920051004-14
C1PR2014080421242353DF97973FCF6,920031002-239
C1PR2014080421201453DF969E81241,920031002-146
C1PR2014080421241553DF978F6A918,920071014-15
C1PR2014080421241553DF978F448A4,920061011-73
C1PR2014080421240753DF978799EFA,920031002-110
C1PR2014080421195953DF968FECAC6,920061001-47
C1PR2014080421202053DF96A4B8507,920031002-7
C1PR2014080421240853DF97883F633,920051004-12
C1PR2014080421240653DF978694CE0,920061011-14
C1PR2014080421203553DF96B37910E,920031002-142
C1PR2014080421235553DF977BDFE73,920051004-4
C1PR2014080421234953DF97752D2E9,920071014-38
C1PR2014080421240053DF978006AB6,920031002-87
C1PR2014080421205653DF96C856215,920061001-20
C1PR2014080421230853DF974C8235C,920061011-72
C1PR2014080421230153DF974577875,920061011-22
C1PR2014080421224853DF97380E398,920061011-33
C1PR2014080421224453DF973422819,920031002-149
C1PR2014080421224153DF973200B92,920061011-44
C1PR2014080421223753DF972D71E03,920031002-225
C1PR2014080421222153DF971D960D3,920061001-37
C1PR2014080421222953DF972584E53,920031002-141
C1PR2014080421223453DF972AD4527,920061001-41
C1PR2014080422235553DFA58BE43A6,920051002-81
C1PR2014080422234753DFA58397BF8,920071001-47
C1PR2014080422232653DFA56EAA929,920051002-228
C1PR2014080422223353DFA539855B9,920071001-209
C1PR2014080422221353DFA52597BC7,920071001-199
C1PR2014080422215353DFA511C1168,920071001-113
C1PR2014080422212053DFA4F084B8F,920051002-235
C1PR2014080422204653DFA4CEC1DFC,920051002-240
C1PR2014080422202753DFA4BB1FE5F,920051002-51
C1PR2014080422201153DFA4AB268EA,920051002-42
C1PR2014080422200253DFA4A26DD35,920051002-126
C1PR2014080422195553DFA49BA9CB5,920051002-227
C1PR2014080422194153DFA48DED343,920051002-79
C1PR2014080422192653DFA47E62D49,920051002-208
C1PR2014080422190553DFA46914C2D,920071001-163
C1PR2014080422185653DFA46095A39,920071001-22
C1PR2014080422183953DFA44F1A781,920051002-185
C1PR2014080422182853DFA444A9EE4,920051002-154
C1PR2014080422182053DFA43CD5923,920051002-153
C1PR2014080422180953DFA4314CCD9,920051002-122
C1PR2014080422164453DFA3DCBA35C,920051002-92
C1PR2014080422162053DFA3C463AE4,920051002-221
C1PR2014080422154453DFA3A0B7287,920071001-101
C1PR2014080422154753DFA3A32A65E,920051002-195
C1PR2014080422151353DFA3819F60F,920071001-198
C1PR2014080422095753DFA245A9B1E,920051002-10
C1PR2014080422085553DFA207B24E0,920051002-64
C1PR2014080422084453DFA1FC5F32B,920071001-14
C1PR2014080422025453DFA09EE1408,920071001-13
C1PR2014080422024853DFA098CA742,920051002-18
C1PR2014080422013653DFA05068874,920051002-206
C1PR2014080422011153DFA03710F61,920051002-53
C1PR2014080422005753DFA02974B21,920051002-57
C1PR2014080422004653DFA01E549B5,920071001-210
C1PR2014080421572453DF9F54AC808,920051002-138
C1PR2014080421565953DF9F3B156A9,920071001-127
C1PR2014080421541553DF9E97D82E2,920071001-129
C1PR2014080420520953DF9009B0BD7,92004100548
C1PR2014080421535453DF9E82DA4A8,920051002-104
C1PR2014080421534453DF9E78D88E5,920071001-50
C1PR2014080421533853DF9E7251EF1,920051002-157
C1PR2014080421532553DF9E6584C2D,920051002-130
C1PR2014080421530153DF9E4D3A860,920071001-189
C1PR2014080421502953DF9DB57AB88,920071001-143
C1PR2014080421494953DF9D8D43C0B,920071001-77
C1PR2014080421490753DF9D633CCB2,920051002-164
C1PR2014080421485653DF9D58DD583,920051002-32
C1PR2014080420533353DF905D9A5F8,920041005-41
C1PR2014080421482353DF9D37E0C94,920051002-181
C1PR2014080420535353DF907183C0D,920091001-12
C1PR2014080420535053DF906E7E691,920041005-29
C1PR2014080421482253DF9D36268D6,920071001-149
C1PR2014080421481453DF9D2EACDAA,920051002-106
C1PR2014080420540953DF90810ACCF,920091002-3
C1PR2014080420542853DF9094417A1,920091002-4
C1PR2014080421481153DF9D2B65746,920071001-156
C1PR2014080421471653DF9CF41EE92,920071001-211
C1PR2014080421460153DF9CA97F9E7,920061010-3
C1PR2014080421455153DF9C9FC9464,920051002-46
C1PR2014080421455253DF9CA072E23,920061010-2
C1PR2014080420545353DF90AD054AF,920091002-6
C1PR2014080421454553DF9C992B0B9,920061010-14
C1PR2014080421453053DF9C8AB1182,920051002-41
C1PR2014080421454053DF9C947F874,920061010-8
C1PR2014080421453253DF9C8C5A920,920061003-8
C1PR2014080421452453DF9C8419874,920061003-3
C1PR2014080421451553DF9C7BE53AC,920061003-2
C1PR2014080421450753DF9C73A4944,920061003-5
C1PR2014080421445853DF9C6AA55D0,920071001-183
C1PR2014080421445253DF9C6415C15,920061003-7
C1PR2014080421443753DF9C55B3252,920061003-1
C1PR2014080421442453DF9C4809894,920071001-154
C1PR2014080421435953DF9C2FD90EA,920061002-17
C1PR2014080420561853DF91020668E,920111001-50
C1PR2014080420561553DF90FFDE51B,920041005-5
C1PR2014080421394553DF9B3140D9B,920051002-74
C1PR2014080421395153DF9B3701F71,920061011-43
C1PR2014080421394253DF9B2EC9C34,920061011-16
C1PR2014080420564053DF911822888,920111001-25
C1PR2014080420564253DF911AE9303,920041005-38
C1PR2014080421393553DF9B2782A8E,920061011-15
C1PR2014080421393653DF9B28BA931,920051002-190
C1PR2014080421392053DF9B18C22A3,920051002-151
C1PR2014080421385453DF9AFE76C76,920051002-62
C1PR2014080421384753DF9AF72C3B9,920051002-141
C1PR2014080421381653DF9AD867434,920071001-115
C1PR2014080421380453DF9ACC0554E,920071008-2
C1PR2014080421374853DF9ABC22A6E,920051002-83
C1PR2014080421375753DF9AC5E3290,920071008-3
C1PR2014080421370153DF9A8D38345,920061011-24
C1PR2014080420571153DF913796A2C,920101003-25
C1PR2014080421365853DF9A8A3B4A9,920071010-2
C1PR2014080421365753DF9A89282FB,920051002-17
C1PR2014080421365253DF9A840B108,920071010-5
C1PR2014080420572553DF914506B3E,920101003-29
C1PR2014080421345953DF9A131649F,920071011-4
C1PR2014080420573153DF914BF1BF6,920041005-25
C1PR2014080421345253DF9A0C3858C,920071011-8
C1PR2014080421343753DF99FD6052A,920061011-69
C1PR2014080421341753DF99E969B95,920071011-9
C1PR2014080421341853DF99EA02DFA,920031002-264
C1PR2014080421340753DF99DF7BF81,920061011-67
C1PR2014080420573353DF914D69BC2,920101003-1
C1PR2014080420574353DF915768C82,920041005-37
C1PR2014080420582053DF917C6059B,920101003-27
C1PR2014080420581353DF9175BB0D9,920111001-36
C1PR2014080420580453DF916CC56C4,920111001-9
C1PR2014080420575353DF9161457C6,920101003-20
C1PR2014080420575953DF9167B4C72,920111001-6
C1PR2014080420580053DF9168A31D5,920101003-6
C1PR2014080420580753DF916F2949A,920041005-12
C1PR2014080420581253DF917436A2D,920101003-22
C1PR2014080421335653DF99D455B3D,920061011-37
C1PR2014080421335153DF99CF75049,920061011-51
C1PR2014080421332953DF99B92FEB3,920051002-96
C1PR2014080420585853DF91A29815B,920101003-9
C1PR2014080421325553DF999772DD6,920031002-246
C1PR2014080420585953DF91A30D44B,920111001-33
C1PR2014080421324253DF998A97700,920051002-207
C1PR2014080420590753DF91AB1822B,920101003-3
C1PR2014080421322953DF997DE46F3,920071011-12
C1PR2014080421322453DF9978866FF,920051002-76
C1PR2014080421322553DF997920BE8,920071014-3
C1PR2014080421321953DF997349C7F,920051002-40
C1PR2014080421315053DF995695A94,920071014-40
C1PR2014080420591953DF91B7DE8F9,920041005-7
C1PR2014080421313953DF994BC8D1B,920051002-111
C1PR2014080420594253DF91CE19222,920041005-24
C1PR2014080420594953DF91D5866ED,920041005-16
C1PR2014080421305953DF9923D6E81,920071014-21
C1PR2014080421305153DF991BD6B97,920031002-155
C1PR2014080421293253DF98CC9AAA4,920031002-223
C1PR2014080421292453DF98C424EA3,920031002-179
C1PR2014080421054853DF933C32521,920101001-91
C1PR2014080421005153DF921377CAB,920101003-28
C1PR2014080421004353DF920B8DB36,920101003-16
C1PR2014080421011453DF922A9661B,920111001-19
C1PR2014080421011853DF922E081F0,920041005-15
C1PR2014080421012453DF92346B9C9,920041005-27
C1PR2014080421012453DF923418CB8,920101003-18
C1PR2014080421012753DF9237B0C00,920041005-23
C1PR2014080421012153DF92318FEEA,920111001-26
C1PR2014080421012653DF92365664A,920031002-116
C1PR2014080421013253DF923C6FDF9,920111001-1
C1PR2014080421013153DF923BBFEC0,920101003-26
C1PR2014080421052653DF9326489C0,920101001-4
C1PR2014080421052153DF9321A1152,920111001-22
C1PR2014080420471153DF8EDF85BD2,15465454444
C1PR2014080422254053DFA5F4309D7,920071001-98
C1PR2014080422194053DFA48CDE028,920071001-180
C1PR2014080422161053DFA3BA56382,920071001-118
C1PR2014080422150453DFA378DEF36,920071001-141
C1PR2014080422144153DFA36178ED2,920071001-174
C1PR2014080422141353DFA345569A7,920051002-47
C1PR2014080422130653DFA30270683,920071001-46
C1PR2014080422130753DFA3038BCB1,920051002-3
C1PR2014080422124853DFA2F06C884,920051002-29
C1PR2014080420493653DF8F70205CE,920091001-7
C1PR2014080422125453DFA2F6C1E43,920071001-103
C1PR2014080422124653DFA2EE1C472,920071001-105
C1PR2014080422123753DFA2E5A91DC,920071001-69
C1PR2014080420494753DF8F7BCC089,920091001-19
C1PR2014080422122053DFA2D4B9A81,920051002-2
C1PR2014080422120253DFA2C3015EA,920051002-156
C1PR2014080422120153DFA2C1287A0,920071001-90
C1PR2014080422114153DFA2ADAF736,920071001-212
C1PR2014080422112453DFA29C0EEC8,920071001-202
C1PR2014080422105553DFA27FC1E67,920051002-216
C1PR2014080422080653DFA1D664D34,920071001-195
C1PR2014080422075753DFA1CD27108,920051002-108
C1PR2014080422074853DFA1C413C01,920051002-143
C1PR2014080420503353DF8FA995E39,920091001-25
C1PR2014080422073253DFA1B4DF6AA,920051002-205
C1PR2014080422065153DFA18BC370A,920051002-243
C1PR2014080422062353DFA16F1F18E,920071001-11
C1PR2014080422061653DFA168643CB,920051002-211
C1PR2014080422060853DFA1609042C,920051002-234
C1PR2014080422055453DFA152BB965,920051002-248
C1PR2014080422054453DFA14883DA5,920051002-225
C1PR2014080422033553DFA0C792709,920071001-142
C1PR2014080422032053DFA0B82F527,920071001-64
C1PR2014080422031953DFA0B712276,920051002-98
C1PR2014080422030653DFA0AA9B78C,920071001-110
C1PR2014080422031453DFA0B26C21B,920051002-158
C1PR2014080422025653DFA0A0CF56C,920051002-229
C1PR2014080421591753DF9FC53856E,920071001-191
C1PR2014080421585253DF9FACDC729,920071001-86
C1PR2014080420512453DF8FDC3FDB8,920041005-40
C1PR2014080421580153DF9F79C3FDB,920051002-44
C1PR2014080421573153DF9F5B45AB1,920051002-127
C1PR2014080421572553DF9F55F0837,920071001-159
C1PR2014080421571653DF9F4CD3CAB,920071001-122
C1PR2014080421564253DF9F2A6EACF,920071001-35
C1PR2014080421563253DF9F20D4820,920071001-119
C1PR2014080420513453DF8FE6BF3D1,920041005-47
C1PR2014080421555553DF9EFB3E0B7,920071001-71
C1PR2014080420515153DF8FF7B920B,920091001-4
C1PR2014080421553153DF9EE330310,920051002-177
C1PR2014080421551953DF9ED7A59ED,920051002-24
C1PR2014080420520153DF900180BE6,920041005-4
C1PR2014080420520153DF90011D5BC,920091001-22
C1PR2014080421543653DF9EAC02ED6,920051002-239
C1PR2014080420522053DF9014268A9,920041005-20
C1PR2014080420521753DF9011418AB,920091001-2
C1PR2014080421540853DF9E90E63E9,920071001-1
C1PR2014080421540253DF9E8A4A026,920051002-144
C1PR2014080421525053DF9E4295749,920051002-9
C1PR2014080421521953DF9E23B1821,920071001-112
C1PR2014080420525653DF90384C9BC,920091001-13
C1PR2014080420524853DF9030882C1,920091001-20
C1PR2014080421511253DF9DE071CF8,920071001-56
C1PR2014080421505053DF9DCA6A3C6,920071001-184
C1PR2014080421504053DF9DC00E189,920071001-161
C1PR2014080421502553DF9DB124A1D,920071001-155
C1PR2014080421443053DF9C4E4C3B7,920061003-4
C1PR2014080421405253DF9B74475BC,920071001-25
C1PR2014080421403353DF9B6156E88,920071001-100
C1PR2014080421391153DF9B0F69C00,920051002-14
C1PR2014080421384753DF9AF716A9D,920071001-186
C1PR2014080421384153DF9AF18E58D,920051002-209
C1PR2014080421375453DF9AC296832,920071008-1
C1PR2014080421373653DF9AB094CF5,920051002-107
C1PR2014080421372353DF9AA377C92,920051002-241
C1PR2014080421372153DF9AA128ACA,920071010-4
C1PR2014080421190453DF96587E757,920061001-35
C1PR2014080421191053DF965E460C4,920061001-40
C1PR2014080421192053DF966832579,920061001-23
C1PR2014080421193053DF9672DDCB8,920061001-7
C1PR2014080421194053DF967C7091B,920061001-5
C1PR2014080421194253DF967ECDDC8,920031002-182
C1PR2014080421194653DF9682916F6,920061001-3
C1PR2014081914073453F2F7B66E385,550-002-2
C1PR2014080421243453DF97A21385E,920071014-2
C1PR2014080421243353DF97A19A6D0,920051004-9
C1PR2014080422254853DFA5FCE714B,920051002-23
C1PR2014080422254153DFA5F5F4032,920051002-242
C1PR2014080422234753DFA583CDA95,920051002-33
C1PR2014080422232653DFA56EB66DC,920071001-144
C1PR2014080422232153DFA5690D1DB,920071001-190
C1PR2014080422225853DFA55263513,920071001-95
C1PR2014080422225453DFA54E26D7B,920071001-131
C1PR2014080422222653DFA53255758,920071001-136
C1PR2014080422211653DFA4ECE9508,920071001-208
C1PR2014080422210353DFA4DF2F534,920071001-51
C1PR2014080422205353DFA4D525D5D,920051002-167
C1PR2014080422204053DFA4C8CA5D1,920051002-110
C1PR2014080422184553DFA455496B4,920071001-10
C1PR2014080422182553DFA44128FDE,920071001-102
C1PR2014080422181253DFA434C086F,920071001-48
C1PR2014080422174553DFA4191D1B6,920051002-118
